LibID,Library,Address,Phone
1,Morgan Braunstein Library,89010 Beilfuss Lane,418-873-2968
2,Rutter Elwin Library,311 Cody Road,719-952-7477
3,Livvyy Gook Library,929 Katie Crossing,205-960-2322
4,Desirae Marrian Library,46 Corscot Drive,816-583-8809
5,Corney Connechy Library,1399 Southridge Place,558-129-5780
6,Fern Fearns Library,4370 Corscot Parkway,687-646-1109
7,Dinah Capaldo Library,47 Transport Hill,825-272-4302
8,Carita Lockner Library,13883 Michigan Way,147-386-6293
9,Tana Horche Library,720 Transport Parkway,719-621-6631
10,Briano Cockin Library,0 Sauthoff Circle,143-875-5703
11,Darsie Easom Library,5 North Avenue,224-127-8412
12,Catha O' Sullivan Library,6523 Waxwing Hill,483-661-0494
13,Luella Emmot Library,659 Myrtle Place,129-637-2757
14,Brit Daborne Library,87 Forest Lane,964-554-5207
15,James Measey Library,31708 Grim Crossing,182-819-2635
16,Codi Willes Library,0 Lunder Plaza,795-329-7784
17,Currey Buncher Library,942 West Trail,805-743-4347
18,Pippa Kunc Library,5 Prairie Rose Point,807-472-5047
19,Dwayne Middle Library,802 Ryan Way,336-717-7468
20,Guthrey Bowerman Library,55 Meadow Ridge Trail,247-406-0006
21,Berti Rippen Library,551 Wayridge Trail,592-193-3173
22,Hoebart Haslin Library,06288 Talisman Court,859-508-0671
23,Jo ann Gleaves Library,2853 Oakridge Drive,704-875-4036
24,Lefty Kelway Library,4202 Lighthouse Bay Place,754-190-2738
25,Quintilla Braunton Library,78 Graceland Park,541-240-6246
26,Yves Fowls Library,897 Sherman Circle,695-908-6163
27,Erminia Luttgert Library,0 Londonderry Point,795-576-6214
28,Prinz Blatcher Library,89 Del Mar Alley,110-763-7177
29,Margette Halt Library,03 Algoma Road,580-122-6014
30,Vilma Spenton Library,86 Lotheville Way,708-111-6752
31,Theadora Frenzel; Library,1260 Buena Vista Junction,391-231-6897
32,Kelcie Labeuil Library,260 Warrior Circle,465-792-7887
33,Chelsea Halbeard Library,326 Service Center,706-584-1606
34,Ulrica Bauer Library,2602 Moland Street,413-405-0536
35,Claiborn Chadwell Library,62213 Garrison Road,796-437-6531
36,Alanah Schoenleiter Library,54 Valley Edge Plaza,359-953-2471
37,Gilbertine Charlson Library,0 Schurz Plaza,533-488-4991
38,Gayelord Boliver Library,4 Golf View Hill,280-951-2968
39,Wyn Ratcliff Library,508 Parkside Drive,258-796-5017
40,Kenneth Makiver Library,76 Rowland Park,383-750-2004
41,Gerladina Joseland Library,19 Hoffman Park,659-807-6728
42,Carin Jopp Library,4286 Dixon Drive,107-845-2822
43,Forrester Baise Library,238 Coleman Center,869-688-9930
44,Henryetta Glascott Library,947 Kings Point,213-882-9150
45,Sib Dunlop Library,15608 Russell Parkway,502-446-1596
46,Melissa Kitteman Library,68 Morningstar Street,995-273-6848
47,Glad Sweynson Library,895 Hazelcrest Hill,390-396-5034
48,Langston Evenden Library,11543 Butterfield Point,233-949-1225
49,Averyl Vogeller Library,43 Center Lane,222-770-9424
50,Clea Penticoot Library,177 Drewry Junction,680-251-5753
51,Pegeen Busain Library,77764 Shelley Road,709-835-0513
52,Ellissa Roth Library,39 Hanover Terrace,630-103-2691
53,Ailene Everington Library,772 Lyons Hill,246-882-8315
54,Kati Ivanchikov Library,532 Banding Lane,911-615-1708
55,Clayton Hannah Library,40565 Monterey Way,460-130-1771
56,Ester Antonacci Library,963 Leroy Crossing,999-498-6944
57,Marybelle Matyashev Library,57187 Eliot Road,583-268-7698
58,Callie Zupo Library,899 Quincy Terrace,833-273-5464
59,Salvidor Tuxill Library,74 Bayside Way,723-514-7706
60,Jay Rapport Library,1 Kim Alley,663-926-6465
61,Maryjo Vanini Library,0 Arapahoe Lane,101-699-4058
62,Jere Turbat Library,2 Loomis Center,201-662-1074
63,Nickola Mixon Library,80939 Buell Drive,813-467-0359
64,Giulio O'Currigan Library,01287 Park Meadow Place,998-787-4839
65,Abner Shann Library,742 Manitowish Terrace,244-531-8906
66,Gasparo MacAlister Library,64731 Bay Park,332-554-3431
67,Eva Milne Library,2 Moose Park,905-984-9087
68,Jacqueline Hodgon Library,2959 Grayhawk Road,408-892-9725
69,Annabel Fike Library,12 Corscot Avenue,215-673-7277
70,Matty Heggie Library,0 Kensington Hill,412-348-9095
71,Baird Bentje Library,58 Hanover Place,808-658-2182
72,Bobine Livett Library,9 Golf Course Avenue,885-408-4413
73,Annie Ottey Library,5 Maple Wood Plaza,896-580-5316
74,Alta Callington Library,4 Sugar Place,831-381-3278
75,Wheeler Mellmoth Library,3 Thackeray Park,793-539-5461
76,Xerxes Sturzaker Library,2699 Southridge Terrace,726-526-4118
77,Dev Tourville Library,9 Vernon Place,221-532-5184
78,Riannon Silmon Library,90165 Coleman Junction,510-580-7399
79,Fanni Elder Library,30491 Westerfield Parkway,499-177-1778
80,Maxi Negro Library,12 Corben Junction,258-436-2597
81,Waldo Healing Library,633 Troy Terrace,962-268-7631
82,Kelvin Hradsky Library,26938 East Drive,651-667-4381
83,Bradley Dundon Library,8306 Moulton Parkway,112-911-4898
84,Gottfried Berthelet Library,079 Warner Circle,559-447-2254
85,Jan Roscrigg Library,225 Vernon Alley,959-531-9528
86,Gabbi Clogg Library,2463 Heath Place,469-629-6034
87,Esme Halfacree Library,3980 Marquette Terrace,807-126-5225
88,Carroll Quiddihy Library,36 Ronald Regan Hill,388-947-2710
89,Beltran Dinesen Library,8421 Ryan Avenue,450-728-5079
90,Garrot Fewster Library,08415 Carberry Park,566-425-2804
91,Leticia Bilbrooke Library,39 Melody Trail,241-404-4415
92,Grantham Crowne Library,5 Utah Street,379-900-9889
93,Fitzgerald Sturr Library,965 Farmco Trail,571-150-0251
94,Dael Merrydew Library,07923 Towne Place,373-303-5376
